event_time,weight,outcome_group,outcome_type,treat_mean,control_mean
3,emw,obesity,rx,0.136642714925121,0.00059563070024551
4,emw,obesity,rx,0.191695412460414,0.000510942923860616
5,emw,obesity,rx,0.315881846190421,0.00108318465412709
6,emw,obesity,rx,0.555929550155103,0.00214046564207422
7,emw,obesity,rx,0.590941098776636,0.00352702195861523
8,emw,obesity,rx,0.749608892146317,0.00618910523088221
9,emw,obesity,rx,0.860029322490578,0.0123452191529627
-4,emw,diab_cardiac,rx,0.298322640178173,0.346875261341792
-3,emw,diab_cardiac,rx,0.373553508482448,0.393820651391793
-2,emw,diab_cardiac,rx,0.466503845748042,0.440438322493197
-1,emw,diab_cardiac,rx,0.447271421880707,0.453500251947741
0,emw,diab_cardiac,rx,0.541945169980217,0.515401899988227
1,emw,diab_cardiac,rx,0.570476361414496,0.601709279927332
2,emw,diab_cardiac,rx,0.757885746062231,0.624749864410696
3,emw,diab_cardiac,rx,0.705744617548844,0.613706459601637
4,emw,diab_cardiac,rx,0.790352146176532,0.623908651794847
5,emw,diab_cardiac,rx,0.802778331098086,0.802970595345221
6,emw,diab_cardiac,rx,1.00949466149852,0.770672621860364
7,emw,diab_cardiac,rx,0.928993031597329,0.775924659556995
8,emw,diab_cardiac,rx,0.905072787112062,0.770724971484855
9,emw,diab_cardiac,rx,0.849968160137949,0.842269450178337
-4,emw,all,rx,0.308202175950605,0.347322620655117
-3,emw,all,rx,0.390324037639583,0.394362263636737
-2,emw,all,rx,0.490230244375052,0.441009113641336
-1,emw,all,rx,0.474476941807783,0.45402055325844
0,emw,all,rx,0.629920072639253,0.516255647403747
1,emw,all,rx,0.730051242635995,0.602706129884135
2,emw,all,rx,0.931802739826265,0.625593444727613
3,emw,all,rx,0.842387332473965,0.614302090301882
4,emw,all,rx,0.982047558636947,0.624419594718707
5,emw,all,rx,1.11866017728851,0.804053779999349
6,emw,all,rx,1.56542421165363,0.772813087502438
7,emw,all,rx,1.51993413037396,0.779451681515611
8,emw,all,rx,1.65468167925838,0.776914076715737
9,emw,all,rx,1.70999748262852,0.854614669331299
-4,emw,obesity,net_spending,9.83178078243885,0.427854340188257
-3,emw,obesity,net_spending,16.8599860088814,0.52002972405652
-2,emw,obesity,net_spending,24.0572741901524,0.513080184652115
-1,emw,obesity,net_spending,27.5642756760682,0.4861805133411
0,emw,obesity,net_spending,88.4505295661925,0.816174303380697
1,emw,obesity,net_spending,158.299753076871,0.984898187021407
2,emw,obesity,net_spending,172.656653094089,0.815888764895055
3,emw,obesity,net_spending,134.659560470276,0.563201947216369
4,emw,obesity,net_spending,183.589945082826,0.472178868771694
5,emw,obesity,net_spending,302.446816956921,0.970654173402134
6,emw,obesity,net_spending,535.102485408555,1.94680192424409
7,emw,obesity,net_spending,558.763065836847,3.32428526146478
8,emw,obesity,net_spending,697.008382527848,5.76558589751161
9,emw,obesity,net_spending,789.521832761355,10.7969643753304
-4,emw,diab_cardiac,net_spending,135.648285994344,153.980565985624
-3,emw,diab_cardiac,net_spending,190.192932124167,185.540139248043
-2,emw,diab_cardiac,net_spending,251.588456448317,219.296148383812
-1,emw,diab_cardiac,net_spending,239.910183946457,231.406933338946
0,emw,diab_cardiac,net_spending,288.140030486054,265.254531711949
1,emw,diab_cardiac,net_spending,324.90408919878,347.616329021153
2,emw,diab_cardiac,net_spending,441.975519041175,371.066447476496
3,emw,diab_cardiac,net_spending,414.205863864149,367.673950383782
4,emw,diab_cardiac,net_spending,508.159329959584,389.178443309675
5,emw,diab_cardiac,net_spending,522.380053842441,506.774909115297
6,emw,diab_cardiac,net_spending,682.402484340845,493.031200335169
7,emw,diab_cardiac,net_spending,625.761662754797,503.063815954766
8,emw,diab_cardiac,net_spending,579.167687821671,506.279666499981
9,emw,diab_cardiac,net_spending,546.499969874531,552.220995863288
-4,emw,all,net_spending,145.480066776783,154.408420325812
-3,emw,all,net_spending,207.052918133049,186.060168972099
-2,emw,all,net_spending,275.645730638469,219.809228568465
-1,emw,all,net_spending,267.474459622526,231.893113852287
0,emw,all,net_spending,376.590560052246,266.07070601533
1,emw,all,net_spending,483.203842275651,348.601227208175
2,emw,all,net_spending,614.632172135264,371.88233624139
3,emw,all,net_spending,548.865424334425,368.237152330998
4,emw,all,net_spending,691.74927504241,389.650622178447
5,emw,all,net_spending,824.826870799362,507.745563288698
6,emw,all,net_spending,1217.5049697494,494.978002259413
